segment	src_indices	tgt_indices	src_tokens	tgt_tokens	score
1.10	20	39	ἀλλὰ	but	0.7902
1.11	19	27	καὶ	and	0.6625
1.14	6|7|8	4|5|7	τῶν|τεχνῶν|ἐν	in|the|arts	0.4190
1.3	11	26	τῷ	the	0.4560
1.3	12|15	24|27|34	ἕτερα|ἑτέρως	differences|objects|imitations	0.4194
1.7	10	17	καὶ	and	0.5237
1.8	0|1	2	οὐδὲν|γὰρ	no	0.5312
1.8	2|3|4|5	0|1|3|4|5	ἂν|ἔχοιμεν|ὀνομάσαι|κοινὸν	We|have|common|name|for	0.4180
1.8	7|9|13	8|9|11|14	Σώφρονος|Ξενάρχου|Σωκρατικοὺς	of|Sophron|Xenarchus|Socratic	0.5002
1.8	8|11	10|12	καὶ|καὶ	or|and	0.5060
1.8	12	13	τοὺς	a	0.5858
1.9	5	18	ἢ	or	0.8037
1.9	7|8|9|10|11|12	20|21|22|23|24	ἢ|τῶν|ἄλλων|τινῶν|τῶν|τοιούτων	or|some|other|kind|of	0.4542
10.1	4|5	2	οἱ|μὲν	either	0.5264
10.1	7|8	4	οἱ|δὲ	or	0.4293
10.1	10|11	6	καὶ|γὰρ	since	0.5006
10.2	10|11|12	23	καὶ|μιᾶς|ἄνευ	without	0.4653
10.2	14	25	ἢ	or	0.5607
11.10	1	0	δέ	which	0.4148
11.6	15	8	ὅπερ	what	0.4087
11.9	3|4	2|3|4	τοῦ|μύθου	of|the|Plot	0.6276
11.9	6|7|15	10|11|12|13|14	περὶ|ταῦτ|τούτων	on|matters|of|this|sort	0.4742
12.1	2	2|3	τραγῳδίας	of|Tragedy	0.6811
12.10	12|15	30	δὲ|καὶ	or	0.5417
12.2	0	0	καὶ	and	0.6460
12.2	2	1|3	τὸ	a|portion	0.4381
12.2	4	2|6	πάροδος	choral|Parode	0.5176
12.2	5|6	7	τὸ|δὲ	and	0.5057
12.2	7	8	στάσιμον	Stasimon	0.5387
12.3	5|6	7|8	δὲ|τὰ	whereas|songs	0.4363
12.3	7|8|9	9|10|11	ἀπὸ|τῆς|σκηνῆς	from|the|stage	0.5562
12.3	10	12	καὶ	and	0.6668
12.3	11	13	κόμμοι	Commoe	0.6498
12.4	0	2	ἔστιν	is	0.7046
12.4	5|7	3|4|6	ὅλον|τὸ	all|that|the	0.4322
12.6	3	2|3	ὅλον	all|that	0.4709
12.6	5	5	μεθ	after	0.4414
12.6	8	4	ἔστι	follows	0.4322
12.8	0|2|3	0|1|2|3|4|5|6	στάσιμον|μέλος|χοροῦ	a|Stasimon|a|song|of|the|chorus	0.4635
12.8	4|5|6	7|8	τὸ|ἄνευ|ἀναπαίστου	without|anapaests	0.5531
12.8	7|8	9|10	καὶ|τροχαίου	or|trochees	0.5521
13.1	1	1	δὲ	next	0.4059
13.10	7	8	καὶ	and	0.6441
13.11	15	16	καθάπερ	like	0.7167
13.11	16|17	17|18	ἡ|Ὀδύσσεια	the|Odyssey	0.6165
13.3	11	13	πάντων	of	0.4063
13.7	6|7	5	μὲν|γὰρ	Though	0.5081
13.8	0	0	ἡ	The	0.6923
13.8	2	4	οὖν	then	0.5642
13.8	6	2	καλλίστη	best	0.7080
13.8	9|10	9	ταύτης|τῆς	this	0.5253
13.8	12	5	ἐστι	has	0.5970
14.10	5|7	4|5|6|9	λύειν|ἔστιν	must|be|kept|are	0.4504
14.10	17	17	καὶ	and	0.7079
14.11	0	6|14	αὐτὸν	these|himself	0.4280
14.11	1	0|1|2|3	δὲ	At|the|same|time	0.4713
14.11	3	7|8	δεῖ	there|is	0.4098
14.11	4	4	καὶ	even	0.4617
14.12	13	12	γιγνώσκοντας	consciously	0.5869
14.14	3	4	παρὰ	for	0.4038
14.14	9	15	τῶν	his	0.4532
14.17	0	2|4	τὸ	this|the	0.5086
14.21	7	6	καὶ	and	0.6210
14.21	11	11	δεῖ	required	0.6372
14.21	14	15|16|17|18	εἴρηται	has|now|been|said	0.6865
14.21	15	14	ἱκανῶς	enough	0.5606
14.5	14|15	21|22|23|24|25	φανερὸν|ὡς	it|is|clear|therefore|that	0.4686
14.7	0|1|2	0|1	ἂν|μὲν|οὖν	Now|when	0.5149
14.7	3|4	2|5|6	ἐχθρὸς|ἐχθρόν	enemy|on|enemy	0.5467
14.7	5|6	8|9|10|11|13|14	οὐδὲν|ἐλεεινὸν	is|nothing|to|move|to|pity	0.4417
14.7	7|8	3|15|16|17|18	οὔτε|ποιῶν	does|either|in|his|doing	0.5144
14.8	0	0	οὐδ	and	0.4350
14.8	2	7|9|10|12	μηδετέρως	parties|indifferent|to|another	0.4533
14.8	3	8	ἔχοντες	are	0.4840
15.1	0	0	Περὶ	In	0.5426
15.1	2	1	τὰ	the	0.5128
15.1	3	2	ἤθη	Characters	0.4917
15.1	4|5	3|4|5|6	τέτταρά|ἐστιν	there|are|four|points	0.4750
15.1	6|13|14|15	13|14|15|16|17	ὧν|ὅπως|χρηστὰ|ᾖ	that|they|shall|be|good	0.4647
15.1	7|8	7|8	δεῖ|στοχάζεσθαι	to|aim	0.4550
15.1	9|10|11|12	9|10|11|12	ἓν|μὲν|καὶ|πρῶτον	at|First|and|foremost	0.4462
15.10c	30|31	33|34|35	τοῖς|θεοῖς	of|the|Gods	0.6542
15.4	8	8	τὸ	The	0.4139
15.5	4	5	τοῦτο	them	0.4703
15.7	6	8	μὴ	not	0.7616
15.7	7	9	ἀναγκαίου	required	0.6963
15.8	10|11	8|9	τοῦ|Ὀδυσσέως	of|Ulysses	0.6073
15.9	1	0	δὲ	and	0.6927
15.9	4|5|6	3|4|5|6|8|16	ἐν|Αὐλίδι|Ἰφιγένεια	in|Iphigenia|at|Aulis|Iphigenia|Iphigenia	0.4401
15.9	7	12	οὐδὲν	utterly	0.4890
15.9	8	7	γὰρ	where	0.4022
15.9	9	13	ἔοικεν	unlike	0.4605
16.1	2	7	τί	As	0.4183
