!	!; Oh; ah; alas; exclamation mark; oh
'	'; 'l = il (the); 'ntrasse = entered; and; him; into; invites (her); it; must; not; of it; of the; swallows; that; the; them; which
'l	and; him; it; the
'n	and; in; on a
(	(; ( (punctuation); opening parenthesis
)	(; (used to mark the beginning of a parenthetical remark); ); close parenthesis; closing parenthesis; oh; parenthesis; right parenthesis
,	,; .; ;; and; but; comma; comma (punctuation mark); comma (punctuation); how; not applicable; not applicable (punctuation); or; punct; punctuation; punctuation mark; punctuation mark (comma); that; then; there; —
.	.; and; not; period; period (punctuation mark); —
..	…
...	the
.D.	D.
.M.	M
:	(; :; and; colon; punctuation; than; that; to; when; why; with; —
;	.; ;; and; but; not; not applicable; not applicable (punctuation); semicolon; semicolon punctuation mark
?	?; and; are; good; it; me; not; of; of it; only; or; question mark; than; the; their; therefore; thunder; to whom; what; where; who; whom; why; wonderful; would be; would believe; you; you are; you make; you must
a	And; At; At the; At/To; By; For; In this way; Nor; On; Scarcely; The; To; To the; With; above; according to; against; and; as; at; at the; at/to; behind; beside; besides; between; beyond; by; by chance; by hand; compared to; face to face; for; for the use of; from; in; in a circle; in circles; in full; in groups of; in his; in the; in the manner of; in the shape of; in time; in/at; in/into; like; near; of; of the; on; on foot; one by one; scarcely; than; than the; than to; that; the; to; to the; to which; to whom; toward; towards; under; until; with; within
a'	to the
abaia	barks
abandonare	abandon; abandoned; abandons; to abandon
abandonato	abandoned
abandono	abandonment; abandons
abare	I had
abassare	lower
abasso	lowers
abattere	knocks down
abbacinato	dazzled
abbagliare	dazzles; to dazzle
abbaiare	barking; to bark
abbandonare	abandon; abandoned; abandons; to abandon; were abandoning
abbandonato	abandon; abandoned
abbandono	I abandon
abbarbagliare	dazzled; dazzles; to dazzle
abbarbicare	clung
abbassare	lower; lowered; lowering; lowers; to lower
abbate	abbot
abbattere	brought down; defeated; knock down; knocked down; knocked him down; knocks down; may encounter; overcome; overthrown; to bring down; was knocking down
abbellare	beautifies
abbiadare	let him have; may he have
abbialare	may have it
abbiare	may he have
abbil	have it
abbilare	have it
abbondare	abounds
abborre	abhors
abbracciamento	embrace; embraces
abbracciare	embrace; embraced; embraces; embracing; they embraced; to embrace
abbracciollo	embraced him
abbreviare	to shorten
abbruciare	burns; to burn
abete	fir; fir tree
abeto	fir trees; firs
abeverare	to water
abil	capable
abile	suitable
abisso	abyss
abitante	inhabitants
abitare	dwell; dwells; dwelt; he/she/it lived; inhabit; inhabited; lived; lives; to dwell; to inhabit
abitazione	dwellings
abitiare	we inhabit
abito	attire; clothes; clothing; dress; garment; habit; lives
abominando	abominable
abominato	abhorred
abominevol	abominable
abominoso	abominable
abondante	abundant
abondanza	abundance
abondare	abounds; to abound
abondo	abounds
aborre	abhors
aborrevole	abhorrent
abraccio	embraces
abruce	burn
abrucia	burn
Absalone	Absalom
absorto	absorbed
acante	acanthus plants
acanto	acanthus
accaddere	happened
accadere	happened; happening; happens; it happens; may happen; to happen; will happen
accampare	camped; encamps
accaneggiare	enraged
accanto	beside; next to
accarere	caresses
accarezzare	caressed; caresses; they caressed each other; to caress; was caressing; welcomed; you caress
accasciare	collapses
accattare	begs
accecare	blinded
accecato	blinded
acceggiare	snipe
accelerare	accelerating; hastening; to hurry
accelerato	accelerated
accendere	I burned; burned; burning; burns; ignited; ignites; inflamed; inflames; kindled; kindles; lighting; lights; lights up; lit; lit up; may be kindled; may light; might ignite; set fire to; set on fire; sets on fire; to ignite; to light; was kindled; was kindling; would ignite
accennare	appears; beckons; gestures; he/she nodded; he/she/it attempts; hints; indicates; nodding; signaled; signals; they signal; to hint; was signaling
accennere	may signal
accenso	inflamed
accento	accents
accertare	confirmed; to ascertain
accerto	assure
acceso	ignited; inflamed; kindled; lit; lit up; set on fire
accetta	accepts; axe; axes
accettabile	acceptable
